filename,chemistry,chemistry_id,capacity_mAh,soc,chs_score,p_runaway,runaway_binary,ohs_numeric,ohs_text,t_max_C,t_rate_Cs,v_diff_V
LCO-LP-6400mAh-100SOC-cell1,LCO,0,6400,100,100.0,1.0,1,7.0,"Physical effect, rupture of pouch, smoke, gas release, fire – 7",150.2427,225.88974,4.152
LCO-LP-6400mAh-100SOC-cell2,LCO,0,6400,100,100.0,1.0,1,7.0,"Physical effect, rupture of pouch, smoke, gas release, fire – 7",,,
LCO-LP-6400mAh-80SOC-Cell3,LCO,0,6400,80,100.0,1.0,1,7.0,"Physical effect, rupture of pouch, smoke, gas release, fire – 7",150.2427,124.358849,4.001
LCO-LP6400mAh-80SOC-cell4,LCO,0,6400,80,97.4848,0.9748,1,7.0,"Physical effect, rupture of pouch, smoke, gas release, fire – 7",,,
OE-LCO-6470mAh-60SOC,LCO,0,6470,60,89.104,0.891,1,6.0,"Physical effect (pouch swelling), rupture of pouch, gas release –  6",150.2427,134.256561,3.874
OE-LCO-6490mAh-60SOC,LCO,0,6490,60,43.1125,0.4311,0,4.0,"Moderate effect, extended joule heating, local reactions (limited spread) – 4",,,
OE-LCO-6270mAh-40SOC,LCO,0,6270,40,35.0891,0.3509,0,4.0,"Moderate effect, extended joule heating, local reactions (limited spread) – 4",60.4754,55.372517,0.079
OE-LCO-6500mAh-20SOC,LCO,0,6500,20,42.9708,0.4297,0,3.0,"Moderate effect, extended joule heating, local reactions (no spread) – 3",,,
OE-LCO-6560mAh-0SOC,LCO,0,6560,0,34.307,0.3431,0,3.0,"Moderate effect, extended joule heating, local reactions (no spread) – 3",133.9798,59.019238,3.398
OE-LCO-6550mAh-20SOC,LCO,0,6550,20,33.0756,0.3308,0,3.0,"Moderate effect, extended joule heating, local reactions (no spread) – 3",78.7906,55.719849,0.223
OE-LCO-6500mAh-40SOC,LCO,0,6500,40,42.1222,0.4212,0,4.0,"Moderate effect, extended joule heating, local reactions (limited spread) – 4",,,
OE-LCO-6340mAh-0SOC,LCO,0,6340,0,27.4474,0.2745,0,1.0,"No effect, instant local Joule heating, no internal discharge – 1",,,
OE-LCO-6400mAh-20SOC,LCO,0,6400,20,39.954,0.3995,0,3.0,"Moderate effect, extended joule heating, local reactions (no spread) – 3",,,
OE-LFP10Ah-0SOC-cell9,LFP,1,10000,0,13.7993,0.138,0,2.0,"No effect, local heating, internal discharge – 2",51.2277,2.0867,1.916
OE-LFP10Ah-0SOC-cell10,LFP,1,10000,0,12.7269,0.1273,0,2.0,"No effect, local heating, internal discharge – 2",,,
OE-LFP10Ah-40SOC-cell7,LFP,1,10000,40,27.1253,0.2713,0,2.0,"No effect, local heating, internal discharge – 2",57.59,3.2174,0.053
OE-LFP10Ah-40SOC-cell8,LFP,1,10000,40,31.1586,0.3116,0,3.0,"Moderate effect, extended joule heating, local reactions (no spread) – 3",,,
OE-LFP10Ah-70SOC-cell5,LFP,1,10000,70,36.9662,0.3697,0,2.0,"No effect, local heating, internal discharge – 2",,,
OE-LFP10Ah-70SOC-cell6,LFP,1,10000,70,34.3071,0.3431,0,2.0,"No effect, local heating, internal discharge – 2",,,
OE-LFP10Ah-80SOC-cell3,LFP,1,10000,80,39.2257,0.3923,0,3.0,"Moderate effect, extended joule heating, local reactions (no spread) – 3",53.5331,2.7021,0.059
OE-LFP10Ah-80SOC-cell4,LFP,1,10000,80,38.556,0.3856,0,3.0,"Moderate effect, extended joule heating, local reactions (no spread) – 3",,,
OE-10Ahr-NMC-70SOC-cell7,NMC,2,10000,70,100.0,1.0,1,7.0,"Physical effect, rupture of pouch, smoke, gas release, fire – 7",,,
OE-10Ahr-NMC-80SOC-cell8,NMC,2,10000,80,100.0,1.0,1,7.0,"Physical effect, rupture of pouch, smoke, gas release, fire – 7",150.2427,124.128502,3.962
OE-10Ahr-NMC-80SOC-Cell9,NMC,2,10000,80,100.0,1.0,1,7.0,"Physical effect, rupture of pouch, smoke, gas release, fire – 7",,,
OE-10Ahr-NMC-100SOC-cell10,NMC,2,10000,100,100.0,1.0,1,7.0,"Physical effect, rupture of pouch, smoke, gas release, fire – 7",150.2427,207.358459,4.18
OE-10Ahr-NMC-100SOC-cell11,NMC,2,10000,100,100.0,1.0,1,7.0,"Physical effect, rupture of pouch, smoke, gas release, fire – 7",,,
OE-LFP10Ah-100SOC-cell1,LFP,1,10000,100,44.8215,0.4482,0,3.0,"Moderate effect, extended joule heating, local reactions (no spread) – 3",48.4737,2.08275,0.039
OE-LFP10Ah-100SOC-cell2,LFP,1,10000,100,44.9649,0.4496,0,2.0,"No effect, local heating, internal discharge – 2",,,
OE-LFP10Ah-100SOC-cell12,LFP,1,10000,100,45.1742,0.4517,0,3.0,"Moderate effect, extended joule heating, local reactions (no spread) – 3",,,
OE-10Ahr-NMC-70SOC-cell6,NMC,2,10000,70,100.0,1.0,1,7.0,"Physical effect, rupture of pouch, smoke, gas release, fire – 7",,,
OE-10AHr-NMC-40SOC-Cell4,NMC,2,10000,40,50.8307,0.5083,1,3.0,"Moderate effect, extended joule heating, local reactions (no spread) – 3",,,
OE-10Ahr-NMC-40SOC-cell1,NMC,2,10000,40,54.9942,0.5499,1,4.0,"Moderate effect, extended joule heating, local reactions (limited spread) – 4",76.3239,113.026466,0.142
OE-10Ahr-NMC-0SOC-cell1,NMC,2,10000,0,37.0929,0.3709,0,4.0,"Moderate effect, extended joule heating, local reactions (limited spread) – 4",99.7545,77.982239,3.09
OE-10Ahr-NMC-0SOC-cell2,NMC,2,10000,0,28.5488,0.2855,0,3.0,"Moderate effect, extended joule heating, local reactions (no spread) – 3",,,
OE-LFP10Ah-80SOC-Cell15,LFP,1,10000,80,40.1775,0.4018,0,2.0,"No effect, local heating, internal discharge – 2",,,
LFP10Ah-60SOC-Cell17,LFP,1,10000,60,33.1779,0.3318,0,3.0,"Moderate effect, extended joule heating, local reactions (no spread) – 3",53.6833,3.83345,0.063
